Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,49MI11,SEW,0.4469,X,1,2XL,60500
95,NGCSAB,SEW,0.39512,X,1,12,60500
95,NGCSAG,SEW,0.39512,X,1,12,60500
95,NGCSAK,SEW,0.39512,X,1,16,60500
95,NGCSAL,SEW,0.39512,X,1,12,60500
95,NGCSAN,SEW,0.39512,X,1,6,60500
95,NGCSAO,SEW,0.39512,X,1,8,60500
95,NGCSAS,SEW,0.39512,X,1,10,60500
95,NGCSAS,SEW,0.39512,X,1,16,60500
95,NGCSAT,SEW,0.39512,X,1,10,60500
95,NGCSAT,SEW,0.39512,X,1,12,60500
95,NGCSAU,SEW,0.39512,X,1,16,60500
95,42MI14,SEW,0.36118,X,1,S,60500
95,42MI14,SEW,0.36118,X,1,L,60500
95,52IF03,VAP,0.2796,5,5,S,60900
95,52IF03,VAP,0.2796,5,5,L,60900
95,BP6G02,VAP,0.342,6,6,4,60900
95,BP6G02,VAP,0.342,6,6,8,60900
95,BP6G02,VAP,0.342,6,6,14,60900
95,PUCM04,VAP,0.16704,3,3,XS,60900
95,PUCM04,VAP,0.16704,3,3,M,60900
95,PUCM04,VAP,0.16704,3,3,L,60900
95,PUCM05,VAP,0.16704,3,3,S,60900
95,G300BA,SEW,0.26748,X,1,6,60500
95,G300BB,SEW,0.26748,X,1,6,60500
95,G300BD,SEW,0.27624,X,1,16,60500
95,G300BG,SEW,0.26748,X,1,4,60500
95,G300BG,SEW,0.26748,X,1,8,60500
95,G300BG,SEW,0.27624,X,1,12,60500
95,G300BG,SEW,0.27624,X,1,16,60500
95,G300BI,SEW,0.26748,X,1,8,60500
95,G300BK,SEW,0.27624,X,1,10,60500
95,G300BK,SEW,0.26748,X,1,6,60500
95,G300BL,SEW,0.27624,X,1,14,60500
95,G300BM,SEW,0.26748,X,1,6,60500
95,G300BM,SEW,0.27624,X,1,10,60500
95,G300BO,SEW,0.27624,X,1,12,60500
95,G300BO,SEW,0.27624,X,1,16,60500
95,G300BP,SEW,0.26748,X,1,6,60500
95,G300BP,SEW,0.27624,X,1,10,60500
95,G300BQ,SEW,0.26748,X,1,8,60500
95,G300BQ,SEW,0.27624,X,1,12,60500
95,G300BR,SEW,0.26748,X,1,6,60500
95,G300BR,SEW,0.27624,X,1,16,60500
95,G300BS,SEW,0.27624,X,1,14,60500
95,G300BT,SEW,0.27624,X,1,14,60500
95,G300BU,SEW,0.26748,X,1,8,60500
95,G300BU,SEW,0.27624,X,1,12,60500
95,G300BU,SEW,0.27624,X,1,14,60500
95,G300BW,SEW,0.27624,X,1,10,60500
95,G300BW,SEW,0.27624,X,1,12,60500
95,G300BY,SEW,0.26748,X,1,4,60500
95,G300CB,SEW,0.26748,X,1,6,60500
95,G300CC,SEW,0.26748,X,1,8,60500
95,G300EH,SEW,0.26748,X,1,4,60500
95,G300EH,SEW,0.26748,X,1,8,60500
95,G300EI,SEW,0.27624,X,1,14,60500
95,41V305,VAP,0.2862,3,3,S,60900
95,41V305,VAP,0.2862,3,3,L,60900
95,41VF05,VAP,0.2862,3,3,XL,60900
95,8.41E+12,VAP,0.42912,8,8,6,60900
96,MVN408,VAP,0.34518,3,3,M,60900
96,MVN408,VAP,0.34518,3,3,XL,60900
96,ZPBF04,VAP,0.27904,4,4,L,60900
96,ZPBF05,VAP,0.27904,4,4,L,60900
96,JCY402,VAP,0.26512,4,4,S,60900
95,GACSAB,SEW,0.3839,X,1,6,60500
95,GACSAB,SEW,0.3839,X,1,8,60500
95,GACSAD,SEW,0.3839,X,1,8,60500
95,GACSAE,SEW,0.3839,X,1,6,60500
95,GACSAE,SEW,0.3839,X,1,8,60500
95,GACSAF,SEW,0.3839,X,1,12,60500
95,GACSAI,SEW,0.3839,X,1,16,60500
95,GACSAJ,SEW,0.3839,X,1,14,60500
95,GACSAK,SEW,0.3839,X,1,6,60500
95,GACSAK,SEW,0.3839,X,1,12,60500
95,GACSAL,SEW,0.3839,X,1,10,60500
95,GACSAM,SEW,0.3839,X,1,8,60500
95,GACSAO,SEW,0.3839,X,1,12,60500
95,GACSAP,SEW,0.3839,X,1,10,60500
95,GACSAQ,SEW,0.3839,X,1,6,60500
95,GACSAQ,SEW,0.3839,X,1,8,60500
95,GACSAR,SEW,0.3839,X,1,8,60500
95,GACSAR,SEW,0.3839,X,1,10,60500
95,GACSAR,SEW,0.3839,X,1,14,60500
95,GACSAU,SEW,0.3839,X,1,16,60500
95,GACSAV,SEW,0.3839,X,1,10,60500
95,GACSAV,SEW,0.3839,X,1,16,60500
95,GACSAW,SEW,0.3839,X,1,10,60500
95,GACSAX,SEW,0.3839,X,1,8,60500
95,B13B01,VAP,0.546,D,13,4,60900
95,B13B02,VAP,0.546,D,13,12,60900
95,NBG5W7,SEW,2.67916,X,1,L,60500
96,SJDH17,VAP,0.14292,1,1,S,60900
96,SJDH18,VAP,0.14292,1,1,L,60900
95,NBARW2,SEW,1.6311,X,1,36B,60500
95,NBARW2,SEW,1.6311,X,1,34DD,60500
95,PHG507,VAP,0.1635,1,1,XL,60900
95,PHAR12,VAP,0.1148,1,1,40D,60900
95,KP6G02,VAP,0.37212,6,6,8,60900
95,KP6G02,VAP,0.37212,6,6,10,60900
95,KP6G02,VAP,0.37212,6,6,16,60900
95,NGCHAA,SEW,0.53148,X,1,16,60500
95,NGCHAB,SEW,0.53148,X,1,10,60500
95,NGCHAC,SEW,0.53148,X,1,12,60500
95,NGCHAC,SEW,0.53148,X,1,16,60500
95,NGCHAE,SEW,0.53148,X,1,6,60500
95,NGCHAE,SEW,0.53148,X,1,8,60500
95,NGCHAJ,SEW,0.53148,X,1,10,60500
95,NGCHAJ,SEW,0.53148,X,1,16,60500
95,NGCHAL,SEW,0.53148,X,1,6,60500
95,NGCHAO,SEW,0.53148,X,1,12,60500
95,NGCHAO,SEW,0.53148,X,1,14,60500
95,NGCHAP,SEW,0.53148,X,1,14,60500
95,NGCHAQ,SEW,0.53148,X,1,14,60500
95,NGCHAR,SEW,0.53148,X,1,8,60500
95,NGCHAS,SEW,0.53148,X,1,10,60500
95,NGCHAS,SEW,0.53148,X,1,12,60500
95,NGCHAT,SEW,0.53148,X,1,16,60500
95,NGCHAV,SEW,0.53148,X,1,10,60500
95,NGCHAX,SEW,0.53148,X,1,12,60500
95,SHPG01,VAP,0.3396,5,5,8,60900
95,SHPG01,VAP,0.3396,5,5,12,60900
95,SHPG02,VAP,0.3396,5,5,6,60900
95,SHPG02,VAP,0.3396,5,5,10,60900
95,SHPG03,VAP,0.3396,5,5,8,60900
95,SHPG03,VAP,0.3396,5,5,12,60900
95,SHPG03,VAP,0.3396,5,5,16,60900
96,7U5B09,VAP,0.23544,6,6,S,60900
96,7BBP11,VAP,0.2262,5,5,L,60900
96,7BBP11,VAP,0.2262,5,5,XL,60900
96,7BBP12,VAP,0.2262,5,5,L,60900
96,UYBB,SEW,0.31644,X,1,S,60500
95,X47CA6,VAP,0.24696,3,3,5,60900
96,LBBXNW,SEW,0.66444,X,1,S,60500
96,LBBXNW,SEW,0.66444,X,1,L,60500
96,UYPRF3,SEW,0.31644,X,1,S,60500
96,UYEBF8,SEW,0.31644,X,1,M,60500
96,UCLB,SEW,0.41772,X,1,M,60500
96,UCLB,SEW,0.41772,X,1,XL,60500
95,GACHAA,SEW,0.53148,X,1,10,60500
95,GACHAC,SEW,0.53148,X,1,8,60500
95,GACHAC,SEW,0.53148,X,1,14,60500
95,GACHAF,SEW,0.53148,X,1,14,60500
95,GACHAH,SEW,0.53148,X,1,8,60500
95,GACHAH,SEW,0.53148,X,1,10,60500
95,GACHAH,SEW,0.53148,X,1,16,60500
95,GACHAI,SEW,0.53148,X,1,14,60500
95,GACHAJ,SEW,0.53148,X,1,8,60500
95,GACHAJ,SEW,0.53148,X,1,12,60500
95,GACHAK,SEW,0.53148,X,1,6,60500
95,GACHAK,SEW,0.53148,X,1,10,60500
95,GACHAL,SEW,0.53148,X,1,16,60500
95,GACHAM,SEW,0.53148,X,1,8,60500
95,GACHAM,SEW,0.53148,X,1,12,60500
95,GACHAQ,SEW,0.53148,X,1,14,60500
95,GACHAR,SEW,0.53148,X,1,16,60500
95,GACHAT,SEW,0.53148,X,1,12,60500
95,GACHAX,SEW,0.53148,X,1,12,60500
95,GACHAX,SEW,0.53148,X,1,16,60500
96,MVNN04,VAP,0.38544,4,4,M,60900
95,420NVF,SEW,0.27828,X,1,5,60500
95,P42Z10,VAP,0.92664,D,13,6,60900
95,420NV4,SEW,0.29196,X,1,8,60500
95,420NV5,SEW,0.27828,X,1,4,60500
95,420NV5,SEW,0.27828,X,1,7,60500
95,420NV6,SEW,0.27828,X,1,7,60500
95,420NV8,SEW,0.29196,X,1,9,60500
95,420NVB,SEW,0.29196,X,1,8,60500
95,420NVD,SEW,0.27828,X,1,5,60500
95,42ABV4,SEW,0.27828,X,1,4,60500
95,42ABV4,SEW,0.27828,X,1,7,60500
95,42ABV5,SEW,0.29196,X,1,9,60500
